ucc,ucc_title,subcategory_code,domain_label,mapping_status,computation_node,destination_eli_count,destination_elis,destination_nodes,exception_reason,bls_multi_eli_footnote
300216,Purch/Inst Clths Washr/Dryr Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK012,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300217,Purch/Inst Clths Washr/Dryr Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK012,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300311,"Stoves, Ovens Rntr",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK013,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300312,"Stoves, Ovens Ownd",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK013,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300321,Microwave Ovens Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK014,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300322,Microwave Ovens Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK014,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300331,Purch/Inst Port Dishwasher Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300332,Purch/Inst Port Dishwasher Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300411,Purch/Inst Window A/C Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK023,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300412,Purch/Inst Window A/C Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HK023,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
300900,Miscellaneous household appliances,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
320111,Floor Coverings (Non-Perm.),HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HH011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
320120,Window Coverings,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HH022,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
320130,Infants Equipment,HOUSING,Housing,DIRECT,OTHER_GOODS_SERVICES,1,GE013,OTHER_GOODS_SERVICES,,false
320140,Laundry And Cleaning Equip.,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HN012,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
320150,Barbeque Grills And Outdoor Equip,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM021,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
